Day  Population  Infected_p  Recovered_p  Infected_s  Recovered_s  Infected_p_only  Infected_s_only coinfected_s_p reinfected_s_p coinfected_p_s reinfected_p_s coinfected_sim
1    4747420		1		0		4		0		1		4		0		0		0		0		0 
2    4747420		8		0		7		0		8		7		0		0		0		0		0 
3    4747420		11		0		10		0		11		10		0		0		0		0		0 
4    4747420		22		0		16		0		22		16		0		0		0		0		0 
5    4747420		35		0		20		0		35		20		0		0		0		0		0 
6    4747420		50		0		26		0		50		26		0		0		0		0		0 
7    4747420		71		0		27		0		71		27		0		0		0		0		0 
8    4747420		90		0		35		0		90		35		0		0		0		0		0 
9    4747420		119		0		39		0		119		39		0		0		0		0		0 
10    4747420		155		0		41		0		155		41		0		0		0		0		0 
11    4747420		193		0		46		0		193		46		0		0		0		0		0 
12    4747420		238		1		48		4		238		48		0		0		0		0		0 
13    4747420		301		7		54		3		301		54		0		0		0		0		0 
14    4747420		380		3		58		3		380		58		0		0		0		0		0 
15    4747420		484		11		62		6		484		62		0		0		0		0		0 
16    4747420		603		13		66		4		603		66		0		0		0		0		0 
17    4747420		727		15		69		6		727		69		0		0		0		0		0 
18    4747420		879		21		79		1		879		79		0		0		0		0		0 
19    4747420		1027		19		83		8		1027		83		0		0		0		0		0 
20    4747420		1194		29		85		4		1194		85		0		0		0		0		0 
