day 	test_p 	test_s 	test 	submit_p 	submit_s 	submit 	sumit_b 	uncollect_p 	uncollect_s 	uncollect 	MSSS_p 	MSSS_s 	MSSS 	discard_p 	discard_s 	discard 	CAP_ind
1 	0 	0 	0 	228 	223 	451 	0 	83 	72 	155 	44 	46 	90 	0 	0 	0 	0
2 	50 	54 	104 	425 	407 	832 	0 	153 	131 	284 	93 	75 	168 	178 	169 	347 	0
3 	93 	83 	176 	751 	702 	1453 	0 	249 	202 	451 	147 	132 	279 	331 	324 	655 	0
4 	166 	141 	307 	1150 	976 	2126 	0 	377 	297 	674 	231 	183 	414 	584 	561 	1145 	0
5 	252 	189 	441 	1553 	1203 	2756 	0 	512 	366 	878 	303 	217 	520 	896 	787 	1683 	0
6 	329 	232 	561 	2123 	1471 	3594 	0 	661 	430 	1091 	436 	272 	708 	1220 	971 	2191 	0
7 	330 	232 	562 	2712 	1687 	4399 	0 	825 	493 	1318 	577 	325 	902 	1223 	971 	2194 	0
8 	330 	232 	562 	3285 	1897 	5182 	0 	1040 	552 	1591 	664 	359 	1023 	1223 	971 	2194 	0
9 	330 	232 	562 	3956 	2045 	6001 	0 	1237 	606 	1842 	782 	386 	1168 	2941 	1661 	4602 	0
10 	330 	232 	562 	4623 	2221 	6843 	1 	1466 	659 	2124 	877 	417 	1294 	3620 	1810 	5430 	0
11 	330 	232 	562 	5308 	2398 	7704 	2 	1674 	694 	2367 	976 	440 	1416 	4282 	1988 	6269 	0
12 	330 	232 	562 	6145 	2523 	8666 	2 	1935 	741 	2675 	1122 	461 	1583 	4975 	2165 	7138 	0
13 	330 	232 	562 	7071 	2644 	9713 	2 	2214 	769 	2982 	1363 	482 	1845 	5802 	2285 	8085 	0
14 	330 	232 	562 	8021 	2744 	10763 	2 	2503 	796 	3298 	1596 	506 	2102 	5815 	2291 	8104 	0
15 	330 	232 	562 	9095 	2838 	11931 	2 	2850 	825 	3674 	1748 	515 	2263 	5815 	2291 	8104 	0
16 	330 	232 	562 	10192 	2914 	13104 	2 	3199 	848 	4046 	1925 	527 	2452 	8734 	2599 	11331 	0
17 	330 	232 	562 	11428 	2971 	14397 	2 	3610 	869 	4478 	2140 	536 	2676 	9849 	2680 	12527 	0
18 	330 	232 	562 	12720 	3033 	15751 	2 	4014 	886 	4899 	2361 	548 	2909 	11082 	2738 	13818 	0
19 	330 	232 	562 	14144 	3082 	17224 	2 	4489 	905 	5393 	2593 	554 	3147 	12368 	2800 	15166 	0
20 	330 	232 	562 	15777 	3138 	18913 	2 	4915 	925 	5838 	3003 	569 	3572 	13798 	2849 	16645 	0
21 	330 	232 	562 	16032 	3149 	19179 	2 	4987 	928 	5913 	3063 	572 	3635 	13814 	2850 	16662 	0
